study	disease_pool	metric	yi	vi	ci.lb	ci.ub	is_pooled	weight	I2	tau2	k
Ziganshina_2020	GERD	Chao1	0.009241423430068486	0.15476354714473195	-0.7618225445461314	0.7803053914062684	FALSE	6.461469890353565	NA	NA	NA
Ziganshina_2020	GERD	Shannon	0.3694472677969829	0.15738673714041737	-0.4081238796864016	1.1470184152803675	FALSE	6.35377553515084	NA	NA	NA
Ziganshina_2020	GERD	Simpson	0.24676889241508346	0.1559329602669772	-0.5272027221559029	1.0207405069860698	FALSE	6.413012350229688	NA	NA	NA
Pooled (RE)	GERD	Observed	-0.008789392379337999	0.019099551543611426	-0.27965862420257076	0.26207983944389474	TRUE	NA	0	0	4
Pooled (RE)	GERD	Chao1	-0.0065971847769761135	0.019099357659241818	-0.2774650417657417	0.26427067221178946	TRUE	NA	0	0	4
Pooled (RE)	GERD	Shannon	0.0565246210451689	0.0219736239765748	-0.23401069805980526	0.3470599401501431	TRUE	NA	8.682601533145375	0.008377775539752634	4
Pooled (RE)	GERD	Simpson	-0.03659159335685426	0.03222555805281568	-0.38843410675422546	0.31525092004051697	TRUE	NA	31.998444007231136	0.041448858081712836	4
Pooled (RE)	IBS-D	Observed	-0.7334726322759901	0.4284488529998386	-2.0163867469276724	0.5494414823756923	TRUE	NA	84.72757809505785	0.7260442122145929	2
Pooled (RE)	IBS-D	Chao1	-0.7236298910223471	0.4148485752016678	-1.9860179923845378	0.5387582103398436	TRUE	NA	84.25424077507456	0.6990692089754934	2
Pooled (RE)	IBS-D	Shannon	-0.2631347356097821	0.06192813163990605	-0.7508788975812238	0.2246094263616596	TRUE	NA	0	0	2
Pooled (RE)	IBS-D	Simpson	0.00889099909472367	0.061606519385017953	-0.4775850098757504	0.4953670080651978	TRUE	NA	0	0	2
